                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.82448,                  3.405,                  1.186,                0.02828,                0.93548,                0.07055,                0.05519,                0.86689,                 3.1756,                 1.2646,             6.0007e-05,             6.0007e-05,             6.0007e-05
                      2,                0.79868,                 3.2744,                 1.1412,                0.02993,                0.94086,                0.06515,                0.05097,                0.86083,                 3.1806,                 1.2746,             0.00011948,             0.00011948,             0.00011948
                      3,                0.76019,                 3.2356,                 1.1313,                 0.0292,                0.94086,                0.08512,                0.06645,                0.83135,                 3.1675,                 1.2324,             0.00017775,             0.00017775,             0.00017775
                      4,                0.74947,                 3.1749,                 1.0986,                0.02934,                0.94086,                0.07899,                0.06217,                0.83263,                  3.161,                 1.2187,             0.00017659,             0.00017659,             0.00017659
                      5,                 0.7741,                 3.1483,                 1.1261,                0.03158,                0.94086,                0.08174,                0.06358,                0.82505,                 3.1365,                  1.218,             0.00017479,             0.00017479,             0.00017479
                      6,                0.72891,                 3.0842,                 1.0896,                0.72545,                0.07264,                0.12022,                0.09565,                0.79615,                 3.1364,                 1.2047,             0.00017299,             0.00017299,             0.00017299
                      7,                0.74546,                 3.0752,                 1.1095,                0.61156,                0.09115,                0.10717,                0.08597,                0.80308,                 3.0709,                 1.2006,             0.00017119,             0.00017119,             0.00017119
                      8,                0.69965,                  3.029,                 1.0827,                0.03269,                0.96237,                0.10085,                0.08241,                0.76603,                 3.0798,                 1.1466,             0.00016939,             0.00016939,             0.00016939
                      9,                0.73834,                 3.0153,                 1.0915,                0.66926,                0.12582,                0.11221,                0.09025,                0.81982,                 3.0191,                 1.2173,             0.00016759,             0.00016759,             0.00016759
                     10,                0.72232,                 2.9814,                 1.0906,                 0.4634,                0.11049,                0.14024,                0.11071,                0.80186,                 3.0342,                 1.1693,             0.00016578,             0.00016578,             0.00016578
                     11,                0.72174,                 2.9187,                  1.107,                 0.4797,                0.12657,                0.13245,                0.10647,                0.81141,                 2.9935,                 1.1975,             0.00016398,             0.00016398,             0.00016398
                     12,                 0.7236,                 2.8622,                 1.0838,                  0.644,                0.16743,                0.13921,                0.11378,                0.80293,                  2.961,                 1.1933,             0.00016218,             0.00016218,             0.00016218
                     13,                0.71808,                 2.8665,                 1.0898,                 0.5303,                0.16973,                0.19182,                0.15195,                0.80904,                 2.9442,                 1.1685,             0.00016038,             0.00016038,             0.00016038
                     14,                0.71715,                 2.8662,                 1.1021,                0.40141,                0.24478,                0.16611,                0.13251,                0.81824,                 2.8836,                 1.1871,             0.00015858,             0.00015858,             0.00015858
                     15,                0.72306,                 2.7382,                 1.0837,                0.62552,                0.17371,                0.18819,                0.14698,                0.85443,                 2.8053,                 1.2364,             0.00015677,             0.00015677,             0.00015677
                     16,                0.70887,                 2.7614,                 1.0935,                0.71817,                0.14349,                0.22796,                0.18805,                0.82287,                 2.8047,                   1.22,             0.00015497,             0.00015497,             0.00015497
                     17,                0.72099,                 2.6789,                 1.0874,                0.52034,                  0.257,                0.20881,                0.16805,                0.80544,                 2.8185,                  1.183,             0.00015317,             0.00015317,             0.00015317
                     18,                0.69706,                 2.7272,                 1.0791,                0.68088,                0.21953,                0.26521,                0.21942,                0.79891,                 2.8403,                 1.1757,             0.00015137,             0.00015137,             0.00015137
                     19,                0.69931,                 2.6464,                 1.0738,                0.53894,                0.19539,                0.22032,                0.17543,                0.81815,                 2.7511,                 1.2042,             0.00014957,             0.00014957,             0.00014957
                     20,                0.71444,                 2.6542,                  1.094,                0.54968,                0.21619,                0.23574,                 0.1875,                0.79896,                 2.7222,                 1.1956,             0.00014777,             0.00014777,             0.00014777
                     21,                0.67169,                 2.7144,                 1.0716,                0.66197,                0.18717,                0.24058,                0.19243,                0.78982,                 2.7307,                  1.177,             0.00014596,             0.00014596,             0.00014596
                     22,                 0.6821,                 2.6049,                 1.0483,                0.71876,                0.21513,                0.27292,                0.22025,                0.78053,                 2.6843,                 1.1822,             0.00014416,             0.00014416,             0.00014416
                     23,                0.68458,                 2.6261,                 1.0902,                0.75179,                0.21959,                 0.2825,                0.23236,                0.79384,                 2.7243,                 1.1814,             0.00014236,             0.00014236,             0.00014236
                     24,                0.68729,                 2.6084,                 1.0716,                0.71102,                0.20855,                0.29451,                0.24506,                0.77473,                 2.6961,                 1.1588,             0.00014056,             0.00014056,             0.00014056
                     25,                0.66525,                 2.5441,                 1.0696,                0.56964,                0.28811,                0.28742,                0.23173,                0.78446,                 2.6865,                 1.1802,             0.00013876,             0.00013876,             0.00013876
                     26,                0.66132,                 2.5293,                 1.0704,                0.67528,                0.24048,                0.27726,                0.22928,                0.76961,                 2.6608,                  1.177,             0.00013695,             0.00013695,             0.00013695
                     27,                 0.6637,                 2.4572,                 1.0478,                0.65362,                0.18973,                0.27045,                0.22109,                0.77841,                 2.7425,                 1.1864,             0.00013515,             0.00013515,             0.00013515
                     28,                0.67978,                 2.4306,                 1.0555,                0.57441,                0.22554,                0.28275,                0.22732,                0.77018,                 2.7071,                 1.1745,             0.00013335,             0.00013335,             0.00013335
                     29,                0.66652,                 2.4736,                 1.0654,                0.62889,                0.22229,                0.29958,                0.24335,                0.79097,                 2.6532,                 1.1929,             0.00013155,             0.00013155,             0.00013155
                     30,                0.68297,                 2.4272,                  1.074,                0.67777,                0.24554,                0.31639,                0.25713,                0.76015,                 2.6186,                 1.1597,             0.00012975,             0.00012975,             0.00012975
                     31,                0.67966,                 2.4118,                 1.0645,                0.46679,                0.31805,                0.33327,                0.26771,                0.78944,                 2.6028,                 1.1769,             0.00012795,             0.00012795,             0.00012795
                     32,                0.67553,                 2.3691,                 1.0752,                0.42616,                0.30462,                0.34973,                0.28079,                0.78664,                 2.5445,                  1.175,             0.00012614,             0.00012614,             0.00012614
                     33,                0.66057,                 2.4004,                 1.0567,                0.43044,                0.35028,                0.34778,                0.28304,                0.81993,                 2.5965,                 1.2111,             0.00012434,             0.00012434,             0.00012434
                     34,                0.66207,                  2.382,                  1.074,                0.40751,                0.39372,                0.41429,                0.33505,                 0.7523,                 2.6325,                 1.1592,             0.00012254,             0.00012254,             0.00012254
                     35,                0.68756,                 2.4003,                 1.0728,                0.43349,                0.29292,                0.34139,                0.26259,                0.83312,                 2.5737,                 1.2475,             0.00012074,             0.00012074,             0.00012074
                     36,                0.67198,                 2.3225,                 1.0674,                 0.4505,                0.28962,                0.32073,                0.26791,                0.76585,                 2.6443,                 1.1881,             0.00011894,             0.00011894,             0.00011894
                     37,                0.65489,                 2.2961,                 1.0443,                0.40671,                0.32639,                0.35063,                0.28392,                0.79789,                 2.5785,                 1.1899,             0.00011714,             0.00011714,             0.00011714
