                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1024,                 2.1537,                 1.0956,                0.42632,                0.62256,                0.51087,                0.38955,                0.89887,                 1.4591,                 1.0318,             4.9557e-05,             4.9557e-05,             4.9557e-05
                      2,                 1.1498,                  2.158,                 1.1252,                0.44847,                0.59567,                0.50798,                0.38867,                 0.8929,                 1.4632,                 1.0263,             9.8429e-05,             9.8429e-05,             9.8429e-05
                      3,                 1.1448,                 2.1701,                 1.1318,                 0.4413,                0.60561,                0.51451,                 0.3934,                0.89903,                 1.3799,                 1.0322,             0.00014651,             0.00014651,             0.00014651
                      4,                 1.1433,                 2.1681,                 1.1349,                0.47075,                0.60686,                0.50924,                0.38679,                0.89728,                 1.3958,                 1.0303,             0.00014542,             0.00014542,             0.00014542
                      5,                 1.1503,                 2.1155,                 1.1077,                0.48056,                0.57991,                0.50796,                0.38851,                0.90784,                 1.4817,                 1.0387,             0.00014423,             0.00014423,             0.00014423
                      6,                 1.1605,                 2.0994,                 1.1298,                0.44288,                0.62218,                 0.5149,                0.39075,                0.90636,                 1.5078,                  1.029,             0.00014304,             0.00014304,             0.00014304
                      7,                 1.1382,                 2.1505,                  1.117,                0.43414,                0.59948,                0.50172,                0.38218,                0.89104,                 1.5442,                 1.0224,             0.00014185,             0.00014185,             0.00014185
                      8,                 1.1292,                 2.1621,                 1.1127,                0.46163,                0.60522,                0.50957,                0.38601,                0.92702,                 1.5771,                 1.0375,             0.00014066,             0.00014066,             0.00014066
                      9,                 1.1299,                 2.1272,                 1.1189,                0.43642,                0.60172,                0.50349,                0.38519,                0.89615,                 1.5609,                 1.0313,             0.00013946,             0.00013946,             0.00013946
                     10,                 1.1296,                 2.1684,                 1.0959,                0.45733,                0.60125,                0.51334,                0.39246,                0.90858,                 1.4814,                 1.0335,             0.00013827,             0.00013827,             0.00013827
                     11,                 1.1284,                  2.084,                 1.1111,                0.48607,                0.60645,                 0.5206,                0.39105,                0.91866,                 1.4685,                 1.0424,             0.00013708,             0.00013708,             0.00013708
                     12,                 1.1306,                 2.0851,                 1.1097,                0.45821,                0.61779,                0.51657,                0.39733,                  0.878,                   1.48,                 1.0165,             0.00013589,             0.00013589,             0.00013589
                     13,                 1.1089,                 2.0955,                 1.0891,                0.42336,                0.63651,                0.51079,                0.38881,                0.88862,                 1.5872,                 1.0151,              0.0001347,              0.0001347,              0.0001347
                     14,                 1.1492,                 2.1264,                 1.1153,                0.44837,                0.63748,                0.52432,                0.40237,                0.88506,                 1.4633,                 1.0184,              0.0001335,              0.0001335,              0.0001335
                     15,                 1.1134,                 2.0571,                 1.1076,                0.44113,                0.63323,                0.52272,                0.39766,                0.89995,                 1.4835,                 1.0313,             0.00013231,             0.00013231,             0.00013231
                     16,                 1.1255,                 2.0579,                 1.1013,                0.45548,                0.62257,                0.51604,                0.39452,                0.88381,                 1.5446,                 1.0164,             0.00013112,             0.00013112,             0.00013112
                     17,                 1.0989,                 2.0775,                 1.0866,                0.47733,                0.64273,                0.53217,                0.40786,                0.87579,                 1.4693,                  1.015,             0.00012993,             0.00012993,             0.00012993
                     18,                 1.1131,                 2.0809,                 1.0963,                0.47333,                0.63412,                0.53437,                0.41036,                0.87587,                 1.4026,                 1.0164,             0.00012874,             0.00012874,             0.00012874
                     19,                 1.1153,                 2.0442,                 1.0953,                0.46965,                0.65921,                0.53306,                0.40798,                0.88632,                 1.4061,                 1.0202,             0.00012754,             0.00012754,             0.00012754
                     20,                 1.1133,                 2.0122,                 1.1144,                 0.4707,                0.64788,                0.52809,                0.40442,                0.88039,                 1.4482,                  1.016,             0.00012635,             0.00012635,             0.00012635
                     21,                 1.1023,                 2.0626,                 1.0824,                 0.4874,                0.63243,                 0.5334,                0.41003,                0.87268,                 1.4028,                 1.0139,             0.00012516,             0.00012516,             0.00012516
                     22,                  1.105,                 1.9778,                 1.0877,                0.48588,                   0.64,                0.53055,                0.40568,                0.88431,                 1.5134,                 1.0178,             0.00012397,             0.00012397,             0.00012397
                     23,                 1.0813,                 1.9141,                  1.083,                 0.4958,                0.62527,                0.54409,                0.42071,                0.86724,                 1.3364,                 1.0221,             0.00012278,             0.00012278,             0.00012278
                     24,                 1.1083,                 1.9946,                 1.0891,                0.49583,                0.63997,                0.54254,                0.41827,                0.87151,                 1.3749,                 1.0131,             0.00012158,             0.00012158,             0.00012158
                     25,                 1.0789,                 1.9867,                 1.0833,                0.46972,                0.64428,                0.53797,                0.41387,                 0.8725,                 1.4476,                 1.0063,             0.00012039,             0.00012039,             0.00012039
                     26,                 1.0889,                  2.046,                 1.0848,                0.46536,                0.66007,                0.54441,                0.41982,                0.86627,                 1.3665,                 1.0112,              0.0001192,              0.0001192,              0.0001192
                     27,                 1.0909,                 1.9784,                 1.0877,                0.45598,                 0.6399,                0.53413,                0.40932,                0.87559,                 1.3952,                 1.0156,             0.00011801,             0.00011801,             0.00011801
                     28,                 1.0728,                 1.9427,                 1.0713,                0.46201,                0.66664,                0.54419,                0.41834,                0.87671,                 1.4322,                 1.0145,             0.00011682,             0.00011682,             0.00011682
                     29,                 1.0876,                 1.9984,                 1.0746,                0.48231,                0.64335,                0.53985,                0.41372,                0.88263,                  1.473,                 1.0185,             0.00011562,             0.00011562,             0.00011562
                     30,                 1.0719,                 1.9297,                 1.0675,                0.46131,                0.65502,                 0.5434,                0.41973,                0.87185,                 1.5126,                 1.0122,             0.00011443,             0.00011443,             0.00011443
                     31,                 1.0629,                 1.8905,                  1.063,                0.46956,                0.65507,                0.54165,                0.41589,                0.88787,                 1.4861,                 1.0266,             0.00011324,             0.00011324,             0.00011324
                     32,                 1.0516,                 1.8981,                 1.0676,                0.46444,                0.63881,                0.54613,                0.42235,                0.87213,                 1.3953,                 1.0165,             0.00011205,             0.00011205,             0.00011205
                     33,                 1.0795,                  1.977,                 1.0848,                0.47349,                0.65358,                0.54794,                0.42153,                0.86563,                 1.3877,                  1.011,             0.00011086,             0.00011086,             0.00011086
                     34,                 1.0757,                 1.9461,                   1.06,                0.45289,                0.67658,                0.55277,                  0.426,                0.86064,                 1.3447,                  1.011,             0.00010966,             0.00010966,             0.00010966
                     35,                 1.0607,                 1.9266,                 1.0693,                 0.4799,                0.65447,                0.54593,                0.42119,                0.87988,                 1.4524,                 1.0172,             0.00010847,             0.00010847,             0.00010847
                     36,                 1.0508,                 1.9283,                 1.0693,                 0.4656,                0.65729,                0.54067,                0.41743,                0.88002,                 1.5357,                  1.015,             0.00010728,             0.00010728,             0.00010728
                     37,                 1.0559,                 1.8741,                 1.0691,                0.47675,                0.66494,                0.55416,                0.42522,                0.86967,                 1.4537,                 1.0073,             0.00010609,             0.00010609,             0.00010609
                     38,                 1.0666,                 1.9176,                  1.079,                0.49071,                0.66571,                0.55627,                0.43029,                0.85862,                 1.3835,                 1.0076,              0.0001049,              0.0001049,              0.0001049
                     39,                 1.0508,                 1.9043,                 1.0716,                0.46198,                0.68951,                0.55633,                0.42661,                0.86737,                 1.3802,                 1.0103,              0.0001037,              0.0001037,              0.0001037
                     40,                 1.0582,                 1.9036,                 1.0575,                0.45654,                0.67163,                0.55524,                0.42532,                0.87087,                 1.3895,                 1.0074,             0.00010251,             0.00010251,             0.00010251
                     41,                 1.0633,                 1.9574,                 1.0654,                0.45857,                0.69715,                0.55735,                0.42856,                0.86331,                 1.3475,                 1.0058,             0.00010132,             0.00010132,             0.00010132
                     42,                 1.0584,                 1.9218,                 1.0673,                 0.4517,                0.69285,                0.55184,                0.42696,                0.84848,                 1.4302,                0.99896,             0.00010013,             0.00010013,             0.00010013
                     43,                 1.0399,                 1.8936,                 1.0578,                0.44792,                0.70071,                0.55119,                0.42473,                0.85708,                 1.4495,                 1.0016,             9.8936e-05,             9.8936e-05,             9.8936e-05
                     44,                 1.0576,                 1.9044,                 1.0632,                 0.4653,                0.68685,                0.55098,                0.42614,                0.84902,                 1.4369,                0.99761,             9.7744e-05,             9.7744e-05,             9.7744e-05
                     45,                 1.0494,                 1.8636,                 1.0647,                0.47019,                0.67392,                0.55484,                0.42694,                0.85364,                 1.4033,                0.99885,             9.6552e-05,             9.6552e-05,             9.6552e-05
                     46,                 1.0269,                   1.85,                 1.0577,                 0.4474,                0.70048,                0.55337,                0.42835,                0.85221,                 1.4331,                  0.999,              9.536e-05,              9.536e-05,              9.536e-05
                     47,                 1.0659,                 1.9141,                 1.0744,                0.45608,                0.70539,                0.55507,                0.42126,                0.89068,                 1.4141,                 1.0108,             9.4168e-05,             9.4168e-05,             9.4168e-05
                     48,                 1.0689,                 1.9386,                 1.0638,                0.47132,                0.68681,                0.56173,                0.43547,                0.84069,                 1.3725,                0.99563,             9.2976e-05,             9.2976e-05,             9.2976e-05
                     49,                 1.0434,                 1.8457,                 1.0496,                 0.4634,                0.69665,                0.55907,                0.43227,                0.84778,                 1.4587,                0.99785,             9.1784e-05,             9.1784e-05,             9.1784e-05
                     50,                 1.0829,                 1.8663,                 1.0807,                0.46612,                0.69414,                0.55317,                0.43012,                0.84583,                 1.5218,                 1.0004,             9.0592e-05,             9.0592e-05,             9.0592e-05
                     51,                 1.0683,                 1.8743,                 1.0623,                0.46711,                0.67799,                0.55206,                0.42875,                0.84239,                 1.4906,                0.99918,               8.94e-05,               8.94e-05,               8.94e-05
                     52,                 1.0304,                 1.8265,                 1.0608,                0.47155,                0.67411,                0.56239,                0.43691,                0.83834,                 1.3484,                0.99675,             8.8208e-05,             8.8208e-05,             8.8208e-05
                     53,                 1.0156,                   1.91,                 1.0379,                0.47719,                0.70418,                0.56663,                0.43688,                0.86444,                  1.407,                 1.0032,             8.7016e-05,             8.7016e-05,             8.7016e-05
                     54,                 1.0603,                  1.855,                 1.0728,                0.48291,                0.69229,                0.56712,                0.44132,                0.83006,                 1.3535,                0.99131,             8.5824e-05,             8.5824e-05,             8.5824e-05
                     55,                 1.0621,                 1.8418,                  1.073,                0.50815,                0.69248,                0.57151,                0.44356,                0.84825,                 1.3544,                 1.0017,             8.4632e-05,             8.4632e-05,             8.4632e-05
                     56,                 1.0304,                 1.7992,                 1.0721,                0.50993,                0.69643,                0.57126,                0.44202,                0.84417,                 1.3417,                0.99802,              8.344e-05,              8.344e-05,              8.344e-05
                     57,                 1.0461,                 1.8631,                 1.0619,                0.47962,                0.67927,                0.56802,                0.44059,                0.83886,                 1.3168,                0.99183,             8.2248e-05,             8.2248e-05,             8.2248e-05
                     58,                 1.0206,                  1.806,                 1.0398,                0.51457,                0.66994,                0.57152,                0.44156,                0.84667,                 1.3902,                 1.0004,             8.1056e-05,             8.1056e-05,             8.1056e-05
                     59,                 1.0366,                 1.8391,                 1.0596,                0.48107,                0.70166,                0.57381,                0.44543,                  0.834,                 1.3794,                0.99247,             7.9864e-05,             7.9864e-05,             7.9864e-05
                     60,                 1.0387,                 1.7855,                 1.0533,                0.47862,                0.69974,                0.57175,                 0.4441,                0.83376,                 1.3876,                0.99263,             7.8672e-05,             7.8672e-05,             7.8672e-05
                     61,                 1.0568,                 1.8427,                 1.0661,                 0.4939,                0.69259,                0.57283,                 0.4444,                0.84137,                 1.4174,                 1.0008,              7.748e-05,              7.748e-05,              7.748e-05
                     62,                 1.0351,                 1.8203,                  1.058,                0.48795,                0.70599,                0.57163,                0.44418,                0.83167,                 1.3836,                0.98773,             7.6288e-05,             7.6288e-05,             7.6288e-05
                     63,                 1.0377,                 1.7832,                 1.0689,                0.48432,                0.71163,                0.57855,                0.44799,                0.85697,                 1.3444,                 1.0088,             7.5096e-05,             7.5096e-05,             7.5096e-05
                     64,                 1.0349,                 1.8116,                 1.0448,                0.47247,                0.70699,                0.57574,                0.44523,                0.84295,                 1.3131,                0.99947,             7.3904e-05,             7.3904e-05,             7.3904e-05
                     65,                 1.0456,                  1.853,                 1.0523,                0.48644,                0.70125,                0.57878,                0.45003,                0.82769,                 1.2903,                0.98841,             7.2712e-05,             7.2712e-05,             7.2712e-05
                     66,                 1.0561,                 1.8151,                 1.0553,                0.49717,                0.70821,                0.57645,                0.44592,                0.84722,                 1.3652,                 1.0004,              7.152e-05,              7.152e-05,              7.152e-05
                     67,                 1.0269,                 1.7639,                 1.0452,                0.48267,                 0.7111,                0.56818,                0.44227,                0.82849,                 1.4074,                0.98525,             7.0328e-05,             7.0328e-05,             7.0328e-05
                     68,                 1.0531,                 1.8415,                 1.0472,                0.47911,                 0.7296,                0.57744,                 0.4465,                0.83968,                 1.3783,                0.99049,             6.9136e-05,             6.9136e-05,             6.9136e-05
                     69,                 1.0409,                  1.818,                 1.0519,                0.48209,                0.71781,                0.57647,                 0.4482,                0.83237,                  1.366,                0.98987,             6.7944e-05,             6.7944e-05,             6.7944e-05
                     70,                 1.0265,                 1.7912,                 1.0343,                0.47246,                  0.729,                0.57634,                0.44674,                0.83189,                 1.3833,                0.98858,             6.6752e-05,             6.6752e-05,             6.6752e-05
                     71,                 1.0139,                 1.8532,                 1.0494,                0.48522,                0.69582,                0.58025,                0.45054,                  0.831,                 1.3164,                0.98992,              6.556e-05,              6.556e-05,              6.556e-05
                     72,                 1.0419,                 1.8304,                 1.0535,                0.48563,                0.71561,                0.57824,                0.44882,                0.83318,                 1.3773,                0.99377,             6.4368e-05,             6.4368e-05,             6.4368e-05
                     73,                  1.044,                 1.8123,                 1.0638,                 0.4805,                0.70102,                0.57966,                0.44762,                0.85308,                 1.3285,                  1.007,             6.3176e-05,             6.3176e-05,             6.3176e-05
                     74,                 1.0417,                 1.8017,                 1.0633,                0.49387,                0.70648,                0.58634,                 0.4565,                0.84397,                 1.2734,                 1.0016,             6.1984e-05,             6.1984e-05,             6.1984e-05
                     75,                 1.0292,                 1.7619,                 1.0553,                0.49301,                0.71106,                0.58644,                0.45687,                0.82914,                 1.2859,                0.98841,             6.0792e-05,             6.0792e-05,             6.0792e-05
                     76,                 1.0045,                 1.7574,                 1.0383,                0.50711,                0.69449,                0.58372,                0.45171,                0.83754,                 1.2626,                0.99203,               5.96e-05,               5.96e-05,               5.96e-05
                     77,                 1.0425,                 1.8018,                 1.0705,                 0.5033,                0.69567,                 0.5866,                0.45646,                0.83454,                 1.3359,                0.99664,             5.8408e-05,             5.8408e-05,             5.8408e-05
                     78,                 1.0243,                 1.7586,                 1.0404,                0.49246,                0.71122,                0.58571,                0.45649,                0.84107,                 1.3275,                0.99644,             5.7216e-05,             5.7216e-05,             5.7216e-05
                     79,                 1.0118,                 1.7998,                 1.0303,                0.49083,                0.71962,                0.58613,                0.45564,                 0.8374,                 1.2946,                0.99702,             5.6024e-05,             5.6024e-05,             5.6024e-05
                     80,                 1.0344,                 1.7962,                 1.0507,                0.49297,                0.70469,                0.59065,                0.46026,                0.83371,                 1.2429,                 0.9937,             5.4832e-05,             5.4832e-05,             5.4832e-05
                     81,                 1.0236,                 1.7777,                 1.0459,                0.52734,                0.69509,                0.59329,                0.46398,                0.81955,                 1.2387,                0.98555,              5.364e-05,              5.364e-05,              5.364e-05
                     82,                 1.0262,                 1.7523,                 1.0356,                0.51993,                0.69254,                0.59046,                0.46132,                0.82837,                 1.3066,                0.99418,             5.2448e-05,             5.2448e-05,             5.2448e-05
                     83,                 1.0259,                 1.7765,                 1.0446,                0.49961,                0.70869,                0.58985,                 0.4563,                 0.8353,                 1.3122,                0.99099,             5.1256e-05,             5.1256e-05,             5.1256e-05
