                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.2654,                  5.362,                 1.7334,                0.00373,                  0.008,                0.00256,                0.00106,                 1.9138,                 4.7727,                 1.5606,             4.9557e-05,             4.9557e-05,             4.9557e-05
                      2,                 1.8476,                  5.111,                 1.4244,                0.00649,                0.07682,                0.00473,                0.00258,                 1.5568,                 4.5434,                 1.3196,             9.8826e-05,             9.8826e-05,             9.8826e-05
                      3,                  1.614,                 4.8726,                 1.2932,                0.01007,                 0.2022,                0.00911,                0.00556,                 1.3864,                 4.2954,                   1.22,              0.0001477,              0.0001477,              0.0001477
                      4,                 1.5405,                 4.7176,                 1.2604,                0.01032,                0.25957,                0.01244,                0.00809,                 1.2873,                 4.1528,                 1.2108,             0.00014721,             0.00014721,             0.00014721
                      5,                 1.4604,                 4.5192,                 1.2168,                0.01185,                0.30499,                0.01622,                0.01102,                 1.2382,                  4.014,                 1.1668,             0.00014662,             0.00014662,             0.00014662
                      6,                 1.4369,                 4.3372,                 1.2097,                0.29162,                0.08332,                0.01994,                0.01372,                 1.1951,                 3.8156,                 1.1597,             0.00014602,             0.00014602,             0.00014602
                      7,                 1.3619,                 4.2982,                 1.1876,                0.28024,                 0.0673,                0.02255,                0.01558,                 1.1739,                 3.7408,                 1.1519,             0.00014542,             0.00014542,             0.00014542
                      8,                 1.3335,                 4.2062,                 1.1567,                0.26429,                0.09889,                 0.0318,                0.02224,                 1.1572,                 3.5944,                 1.1187,             0.00014483,             0.00014483,             0.00014483
                      9,                  1.292,                  4.017,                 1.1621,                0.29863,                  0.103,                0.04264,                0.03051,                 1.1039,                 3.4585,                 1.1227,             0.00014423,             0.00014423,             0.00014423
                     10,                 1.2783,                 3.9734,                  1.138,                 0.2058,                0.09461,                0.05065,                0.03542,                 1.1198,                 3.3571,                 1.1383,             0.00014364,             0.00014364,             0.00014364
                     11,                 1.2679,                 3.8056,                 1.1515,                0.25458,                 0.1087,                 0.0551,                 0.0394,                 1.0667,                 3.2188,                 1.0978,             0.00014304,             0.00014304,             0.00014304
                     12,                  1.273,                 3.7152,                 1.1567,                0.26004,                0.13298,                0.06664,                0.04846,                 1.0516,                 3.1525,                 1.0946,             0.00014244,             0.00014244,             0.00014244
                     13,                 1.2415,                 3.7018,                 1.1247,                0.19275,                0.15631,                0.07341,                0.05326,                 1.0484,                 3.3212,                 1.0895,             0.00014185,             0.00014185,             0.00014185
                     14,                 1.2654,                 3.5722,                 1.1509,                0.26389,                0.17156,                0.08517,                0.06218,                 1.0437,                 3.1116,                 1.1113,             0.00014125,             0.00014125,             0.00014125
                     15,                 1.2104,                 3.4417,                 1.1329,                0.21324,                0.17768,                0.09909,                0.07345,                 1.0206,                 3.0358,                 1.0831,             0.00014066,             0.00014066,             0.00014066
                     16,                 1.2107,                 3.3699,                 1.1338,                0.22638,                0.20988,                0.11142,                0.08268,                0.99484,                 2.9899,                 1.0801,             0.00014006,             0.00014006,             0.00014006
                     17,                 1.1787,                 3.3455,                 1.1141,                0.28275,                0.21396,                0.12972,                0.09532,                0.98866,                  2.818,                 1.0699,             0.00013946,             0.00013946,             0.00013946
                     18,                  1.185,                 3.3167,                 1.1344,                0.35037,                0.22815,                0.14897,                0.11026,                0.98115,                 2.6532,                 1.0823,             0.00013887,             0.00013887,             0.00013887
                     19,                  1.175,                  3.187,                 1.1309,                0.35587,                 0.2363,                 0.1573,                0.11649,                0.98896,                 2.5688,                 1.0747,             0.00013827,             0.00013827,             0.00013827
                     20,                 1.1587,                  3.083,                 1.1331,                0.30187,                0.28146,                0.15515,                0.11623,                0.96883,                 3.0747,                 1.0598,             0.00013768,             0.00013768,             0.00013768
                     21,                 1.1667,                  3.122,                 1.1187,                0.32122,                0.29653,                0.18094,                0.13573,                0.95799,                 2.5639,                 1.0642,             0.00013708,             0.00013708,             0.00013708
                     22,                 1.1431,                 2.9804,                 1.1183,                0.35797,                0.31323,                0.19197,                0.14353,                0.95683,                 2.7461,                 1.0681,             0.00013648,             0.00013648,             0.00013648
                     23,                 1.1315,                   2.86,                 1.1098,                0.37273,                 0.3104,                0.22481,                0.16983,                0.94084,                 2.3307,                   1.07,             0.00013589,             0.00013589,             0.00013589
                     24,                 1.1475,                 2.9458,                 1.1185,                 0.3617,                0.32395,                0.21926,                0.16433,                0.95293,                 2.5896,                 1.0781,             0.00013529,             0.00013529,             0.00013529
                     25,                  1.128,                  2.898,                 1.1089,                0.36555,                0.33482,                0.22867,                0.17109,                0.94169,                 2.6312,                 1.0572,              0.0001347,              0.0001347,              0.0001347
                     26,                  1.114,                 2.9259,                 1.1043,                0.41582,                0.33383,                0.26994,                0.20335,                0.93767,                 2.2424,                 1.0735,              0.0001341,              0.0001341,              0.0001341
                     27,                 1.1253,                 2.7886,                 1.1221,                0.40732,                0.36161,                0.29302,                0.22249,                0.91887,                 2.1641,                  1.052,              0.0001335,              0.0001335,              0.0001335
                     28,                  1.109,                 2.7095,                 1.0978,                0.38355,                0.37082,                0.26905,                0.20522,                0.91543,                 2.3166,                 1.0482,             0.00013291,             0.00013291,             0.00013291
                     29,                 1.1022,                 2.7963,                 1.0903,                0.43978,                0.36709,                0.30303,                0.22864,                 0.9381,                 2.1753,                  1.065,             0.00013231,             0.00013231,             0.00013231
                     30,                 1.0869,                 2.6361,                 1.1015,                0.37526,                0.38384,                0.28568,                0.21504,                0.93229,                 2.2424,                 1.0655,             0.00013172,             0.00013172,             0.00013172
                     31,                  1.078,                 2.5916,                 1.0841,                0.42994,                0.40235,                0.33203,                0.25323,                0.90351,                 2.0363,                 1.0484,             0.00013112,             0.00013112,             0.00013112
                     32,                 1.0631,                  2.581,                  1.096,                0.47419,                0.40619,                0.35207,                0.26863,                 0.9036,                 1.9011,                 1.0529,             0.00013052,             0.00013052,             0.00013052
                     33,                 1.0828,                 2.5772,                 1.0972,                0.40571,                0.43228,                 0.3557,                0.27089,                0.89954,                 1.9306,                 1.0468,             0.00012993,             0.00012993,             0.00012993
                     34,                 1.0849,                 2.5583,                 1.0878,                0.44912,                0.43789,                0.36346,                0.27709,                 0.9075,                  1.917,                 1.0566,             0.00012933,             0.00012933,             0.00012933
                     35,                 1.0717,                 2.5065,                 1.0899,                0.40883,                0.46138,                0.36739,                0.28298,                0.88199,                 1.9171,                 1.0404,             0.00012874,             0.00012874,             0.00012874
                     36,                 1.0511,                 2.5059,                 1.0898,                0.42806,                0.46502,                0.38395,                0.29476,                0.88468,                 2.0366,                 1.0438,             0.00012814,             0.00012814,             0.00012814
                     37,                 1.0539,                 2.3806,                 1.0935,                0.44289,                0.48202,                0.40933,                0.31572,                0.87363,                 1.7979,                 1.0414,             0.00012754,             0.00012754,             0.00012754
                     38,                  1.063,                 2.4413,                 1.0947,                0.46359,                0.47893,                0.40395,                0.30959,                0.88307,                 1.8501,                 1.0422,             0.00012695,             0.00012695,             0.00012695
                     39,                 1.0579,                 2.4012,                 1.0861,                 0.4117,                0.50766,                0.40084,                0.30807,                 0.8763,                 1.8407,                 1.0435,             0.00012635,             0.00012635,             0.00012635
                     40,                 1.0479,                 2.4095,                 1.0718,                 0.4088,                0.50832,                0.39324,                0.29983,                0.89238,                  1.893,                 1.0476,             0.00012576,             0.00012576,             0.00012576
                     41,                 1.0468,                 2.4442,                 1.0737,                0.45292,                0.51218,                0.41562,                 0.3195,                0.87619,                 1.7764,                 1.0342,             0.00012516,             0.00012516,             0.00012516
                     42,                 1.0429,                 2.3659,                 1.0778,                0.39365,                0.54731,                0.40819,                0.31579,                0.86638,                 1.8565,                 1.0339,             0.00012456,             0.00012456,             0.00012456
                     43,                 1.0199,                 2.3239,                  1.069,                0.43888,                0.53556,                0.41112,                0.31673,                0.86679,                 1.9646,                 1.0311,             0.00012397,             0.00012397,             0.00012397
                     44,                 1.0501,                 2.3236,                 1.0809,                0.45576,                0.53125,                0.41438,                0.31784,                0.87242,                 1.9838,                 1.0292,             0.00012337,             0.00012337,             0.00012337
                     45,                 1.0377,                 2.2367,                 1.0817,                0.43206,                0.55272,                0.43504,                 0.3374,                0.85801,                 1.8207,                 1.0293,             0.00012278,             0.00012278,             0.00012278
                     46,                 1.0012,                 2.2738,                 1.0589,                0.45696,                0.55265,                0.44074,                0.34029,                0.86142,                 1.8125,                 1.0306,             0.00012218,             0.00012218,             0.00012218
                     47,                 1.0359,                 2.2875,                 1.0811,                0.42763,                 0.5528,                0.45251,                 0.3476,                0.88023,                 1.8238,                 1.0409,             0.00012158,             0.00012158,             0.00012158
                     48,                  1.045,                 2.3104,                 1.0786,                0.44949,                0.55433,                0.46337,                0.35886,                0.85456,                  1.724,                 1.0308,             0.00012099,             0.00012099,             0.00012099
                     49,                 1.0202,                 2.1724,                  1.067,                0.43158,                0.58556,                0.46115,                0.35452,                0.87711,                 1.8322,                 1.0381,             0.00012039,             0.00012039,             0.00012039
                     50,                 1.0447,                 2.2083,                 1.0818,                0.43961,                0.56967,                  0.442,                0.34526,                0.84748,                 1.9882,                 1.0232,              0.0001198,              0.0001198,              0.0001198
                     51,                 1.0267,                 2.1845,                  1.063,                0.45219,                0.61217,                 0.4736,                 0.3698,                 0.8328,                   1.77,                   1.02,              0.0001192,              0.0001192,              0.0001192
                     52,                0.99222,                  2.129,                 1.0661,                0.47731,                0.58966,                0.48246,                0.37627,                0.83981,                 1.5535,                  1.028,              0.0001186,              0.0001186,              0.0001186
                     53,                 0.9831,                 2.2374,                 1.0463,                0.42677,                0.60792,                 0.4825,                 0.3759,                0.83794,                 1.6651,                 1.0152,             0.00011801,             0.00011801,             0.00011801
                     54,                 1.0233,                 2.1315,                  1.076,                0.44019,                0.62143,                0.49737,                0.38865,                0.84545,                 1.5508,                 1.0371,             0.00011741,             0.00011741,             0.00011741
                     55,                 1.0233,                 2.0975,                 1.0694,                 0.4505,                 0.6248,                0.48876,                0.37958,                0.84064,                 1.5981,                 1.0289,             0.00011682,             0.00011682,             0.00011682
                     56,                0.98978,                 2.0333,                 1.0702,                0.46915,                0.62585,                0.49759,                0.38601,                0.84238,                 1.5855,                 1.0275,             0.00011622,             0.00011622,             0.00011622
                     57,                0.99736,                 2.1063,                 1.0631,                0.48388,                0.63056,                  0.521,                0.40622,                0.83605,                 1.5104,                 1.0271,             0.00011562,             0.00011562,             0.00011562
                     58,                 0.9765,                 2.0336,                 1.0412,                0.50491,                0.64345,                0.53205,                0.41651,                0.83158,                  1.472,                 1.0251,             0.00011503,             0.00011503,             0.00011503
                     59,                0.99359,                 2.0535,                 1.0579,                0.46469,                0.63345,                0.51811,                0.40691,                 0.8357,                 1.6493,                 1.0266,             0.00011443,             0.00011443,             0.00011443
