                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.7359,                 5.1692,                 2.0767,                0.00052,                0.00538,                0.00033,                  3e-05,                 1.9487,                 4.2476,                 2.4468,             6.0501e-05,             6.0501e-05,             6.0501e-05
                      2,                 1.3251,                 4.9977,                 1.7083,                0.00179,                0.01613,                0.00174,                0.00071,                  1.474,                 4.0905,                 1.9311,             0.00011997,             0.00011997,             0.00011997
                      3,                 1.0895,                 4.8767,                   1.52,                0.01031,                0.19816,                0.05518,                 0.0373,                 1.0279,                 4.0206,                 1.6101,             0.00017823,             0.00017823,             0.00017823
                      4,                0.98176,                  4.676,                 1.4328,                0.01349,                 0.3447,                0.03601,                0.02365,                 1.0095,                 3.9102,                 1.5684,             0.00017659,             0.00017659,             0.00017659
                      5,                0.98109,                 4.5989,                 1.3889,                0.01126,                0.46144,                0.05251,                0.04064,                0.95373,                  3.989,                 1.5893,             0.00017479,             0.00017479,             0.00017479
                      6,                0.90994,                  4.478,                 1.3603,                0.01613,                0.57419,                0.04046,                0.02662,                0.97441,                 6.2921,                 1.6873,             0.00017299,             0.00017299,             0.00017299
                      7,                0.90269,                 4.3886,                  1.358,                0.01625,                0.62903,                0.06062,                 0.0417,                0.95804,                 4.7622,                 1.6405,             0.00017119,             0.00017119,             0.00017119
                      8,                0.87614,                 4.3658,                 1.3347,                  0.313,                0.26959,                0.06227,                0.04702,                0.95089,                 4.9597,                 1.5834,             0.00016939,             0.00016939,             0.00016939
                      9,                0.92536,                 4.2656,                  1.336,                0.02494,                0.80538,                0.07783,                0.05589,                0.93141,                 5.5593,                 1.5659,             0.00016759,             0.00016759,             0.00016759
                     10,                0.86663,                 4.1781,                 1.3618,                0.29902,                0.26502,                0.08133,                0.05837,                0.98215,                 8.5785,                 1.6995,             0.00016578,             0.00016578,             0.00016578
                     11,                0.86161,                 4.1727,                  1.338,                0.12048,                0.50575,                 0.0898,                0.06387,                 0.9993,                  4.984,                 1.7315,             0.00016398,             0.00016398,             0.00016398
                     12,                0.82393,                 4.1704,                 1.2812,                0.21643,                0.35894,                0.10176,                0.06583,                 1.0378,                 6.8862,                 1.8835,             0.00016218,             0.00016218,             0.00016218
