                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.2654,                  5.362,                 1.7334,                0.00373,                  0.008,                0.00256,                0.00106,                 1.9138,                 4.7727,                 1.5606,             4.9557e-05,             4.9557e-05,             4.9557e-05
                      2,                 1.8544,                  5.117,                 1.4264,                0.01013,                0.06826,                0.00672,                 0.0034,                 1.5692,                 4.5606,                 1.3299,             9.8959e-05,             9.8959e-05,             9.8959e-05
                      3,                 1.6156,                  4.883,                 1.3035,                0.00997,                0.22755,                0.01003,                0.00631,                 1.3833,                 4.2191,                  1.213,              0.0001481,              0.0001481,              0.0001481
                      4,                 1.5336,                 4.6785,                 1.2526,                0.01148,                0.27742,                0.01355,                0.00885,                 1.2606,                 4.0786,                 1.1735,             0.00014781,             0.00014781,             0.00014781
                      5,                 1.4545,                 4.4866,                 1.2054,                0.01165,                0.30157,                0.01597,                 0.0108,                 1.2192,                 4.0012,                 1.1466,             0.00014741,             0.00014741,             0.00014741
                      6,                 1.4139,                 4.3118,                 1.1933,                0.22873,                0.07449,                0.02088,                0.01466,                 1.1815,                 3.9769,                 1.1249,             0.00014701,             0.00014701,             0.00014701
                      7,                 1.3586,                 4.2841,                 1.1792,                0.21911,                 0.0714,                0.02607,                0.01845,                  1.165,                 3.8785,                 1.1298,             0.00014662,             0.00014662,             0.00014662
                      8,                 1.3289,                  4.192,                  1.158,                0.25508,                0.09618,                0.03405,                0.02438,                 1.1376,                 3.6268,                 1.1088,             0.00014622,             0.00014622,             0.00014622
                      9,                 1.2925,                 4.0032,                 1.1584,                0.31155,                0.10404,                0.04492,                0.03185,                 1.1126,                 3.4299,                 1.1084,             0.00014582,             0.00014582,             0.00014582
                     10,                 1.2878,                 3.9623,                 1.1375,                0.28832,                0.12088,                0.05042,                0.03612,                 1.0823,                  3.302,                 1.0961,             0.00014542,             0.00014542,             0.00014542
                     11,                 1.2736,                 3.8056,                 1.1485,                0.32828,                0.12316,                0.06078,                0.04444,                 1.0318,                 3.2218,                 1.0677,             0.00014503,             0.00014503,             0.00014503
                     12,                 1.2618,                 3.6989,                 1.1467,                0.30988,                0.15096,                0.06955,                0.05073,                  1.048,                  3.198,                 1.0786,             0.00014463,             0.00014463,             0.00014463
                     13,                 1.2341,                 3.6733,                 1.1174,                0.24206,                0.16881,                0.08402,                0.06106,                 1.0367,                 3.3083,                  1.071,             0.00014423,             0.00014423,             0.00014423
                     14,                 1.2596,                 3.5686,                 1.1456,                0.28184,                0.18165,                 0.0941,                0.06907,                 1.0175,                 3.1899,                 1.0746,             0.00014383,             0.00014383,             0.00014383
                     15,                 1.2157,                 3.4133,                 1.1312,                0.30449,                 0.1878,                0.10824,                0.07938,                 1.0081,                 3.0221,                 1.0681,             0.00014344,             0.00014344,             0.00014344
                     16,                 1.1984,                 3.3348,                 1.1242,                0.31531,                0.20727,                0.12229,                0.09089,                0.98385,                 2.9359,                 1.0645,             0.00014304,             0.00014304,             0.00014304
                     17,                 1.1777,                 3.3249,                 1.1125,                 0.3153,                0.23947,                0.14131,                0.10462,                0.98737,                 2.7874,                 1.0719,             0.00014264,             0.00014264,             0.00014264
                     18,                 1.1741,                 3.2668,                 1.1274,                0.35951,                0.25448,                0.16087,                0.11979,                0.97638,                 2.7144,                 1.0858,             0.00014225,             0.00014225,             0.00014225
                     19,                 1.1791,                 3.1747,                 1.1287,                0.35975,                0.27073,                0.18252,                0.13385,                0.99338,                 2.5273,                 1.0745,             0.00014185,             0.00014185,             0.00014185
                     20,                   1.16,                 3.0662,                 1.1347,                 0.3023,                0.29396,                0.17177,                0.12902,                0.96666,                 2.9504,                 1.0576,             0.00014145,             0.00014145,             0.00014145
                     21,                 1.1636,                 3.1053,                 1.1148,                0.36405,                0.31065,                0.19602,                 0.1477,                0.94273,                 2.6415,                 1.0556,             0.00014105,             0.00014105,             0.00014105
                     22,                 1.1428,                  2.954,                 1.1235,                0.36609,                0.31744,                0.19836,                0.14863,                0.95093,                 2.7606,                  1.064,             0.00014066,             0.00014066,             0.00014066
                     23,                 1.1392,                  2.855,                 1.1126,                0.39174,                0.32241,                0.24333,                0.18375,                0.92992,                 2.2533,                  1.062,             0.00014026,             0.00014026,             0.00014026
                     24,                  1.157,                 2.9291,                 1.1228,                0.39193,                0.32613,                0.23956,                0.17889,                0.95662,                 2.5037,                 1.0707,             0.00013986,             0.00013986,             0.00013986
                     25,                 1.1325,                 2.8711,                 1.1066,                0.35532,                 0.3628,                0.23124,                0.17375,                0.93674,                 2.8745,                 1.0496,             0.00013946,             0.00013946,             0.00013946
                     26,                 1.1124,                 2.8929,                 1.1065,                0.37367,                0.34717,                0.26342,                0.19882,                0.93143,                 2.3248,                 1.0687,             0.00013907,             0.00013907,             0.00013907
                     27,                 1.1257,                 2.7689,                 1.1209,                0.38438,                  0.397,                0.29305,                0.22327,                0.90629,                 2.1509,                 1.0498,             0.00013867,             0.00013867,             0.00013867
                     28,                 1.1025,                 2.6843,                 1.0971,                0.38386,                0.38396,                0.28063,                0.21332,                0.92053,                 2.2522,                 1.0631,             0.00013827,             0.00013827,             0.00013827
                     29,                 1.1009,                 2.7802,                 1.0937,                0.40786,                0.38885,                0.30563,                0.23341,                0.90819,                 2.1454,                 1.0556,             0.00013787,             0.00013787,             0.00013787
                     30,                 1.0796,                 2.6224,                 1.0988,                0.37384,                 0.3996,                0.28798,                0.21735,                0.92411,                 2.2846,                 1.0593,             0.00013748,             0.00013748,             0.00013748
                     31,                 1.0853,                 2.5817,                 1.0847,                0.42893,                0.40392,                0.32606,                0.24889,                0.89637,                 2.1043,                 1.0456,             0.00013708,             0.00013708,             0.00013708
                     32,                 1.0666,                 2.5691,                 1.0954,                0.44883,                0.42533,                0.34874,                0.26666,                0.89502,                 1.9075,                 1.0445,             0.00013668,             0.00013668,             0.00013668
                     33,                 1.0775,                  2.575,                 1.0924,                0.42925,                0.43621,                0.35237,                0.26926,                 0.8943,                 1.8891,                 1.0415,             0.00013629,             0.00013629,             0.00013629
                     34,                 1.0874,                 2.5372,                 1.0866,                0.44987,                0.45502,                0.37274,                0.28529,                0.90178,                 1.9125,                 1.0502,             0.00013589,             0.00013589,             0.00013589
                     35,                 1.0742,                 2.4935,                 1.0934,                0.45703,                0.45249,                0.37006,                0.28595,                0.88418,                 1.9894,                 1.0439,             0.00013549,             0.00013549,             0.00013549
                     36,                 1.0481,                 2.4865,                 1.0893,                0.46133,                0.45215,                0.39219,                0.30195,                0.88481,                 1.9679,                  1.039,             0.00013509,             0.00013509,             0.00013509
                     37,                 1.0562,                 2.3622,                 1.0973,                0.47683,                0.47043,                0.40864,                0.31517,                0.88331,                 1.7891,                 1.0509,              0.0001347,              0.0001347,              0.0001347
                     38,                 1.0578,                  2.421,                 1.0921,                0.43657,                0.47752,                0.40871,                0.31498,                0.88091,                 1.8681,                 1.0375,              0.0001343,              0.0001343,              0.0001343
                     39,                 1.0596,                 2.3855,                 1.0854,                0.42149,                0.51666,                0.40925,                0.31613,                0.86878,                 1.8443,                 1.0364,              0.0001339,              0.0001339,              0.0001339
                     40,                 1.0505,                 2.3939,                 1.0729,                0.39232,                0.50557,                0.38331,                0.29525,                0.87579,                 2.0658,                  1.035,              0.0001335,              0.0001335,              0.0001335
                     41,                 1.0454,                  2.417,                 1.0761,                0.44225,                 0.5213,                0.43485,                0.33509,                0.88297,                 1.7257,                 1.0425,             0.00013311,             0.00013311,             0.00013311
                     42,                 1.0411,                 2.3503,                 1.0766,                0.45718,                0.53129,                0.42992,                0.33406,                0.86934,                 1.7066,                 1.0403,             0.00013271,             0.00013271,             0.00013271
                     43,                 1.0147,                 2.2953,                 1.0693,                0.45373,                0.51223,                0.42761,                0.33004,                0.87771,                 1.8223,                 1.0374,             0.00013231,             0.00013231,             0.00013231
                     44,                  1.047,                 2.3014,                 1.0812,                0.37527,                0.54314,                0.40982,                0.31594,                0.86689,                  2.068,                 1.0299,             0.00013191,             0.00013191,             0.00013191
                     45,                 1.0382,                 2.2086,                 1.0796,                0.41612,                0.57073,                0.44216,                0.34445,                0.85655,                 1.9666,                 1.0262,             0.00013152,             0.00013152,             0.00013152
                     46,                 1.0034,                 2.2492,                 1.0611,                0.41957,                0.56637,                0.44732,                0.34508,                 0.8663,                 1.8456,                 1.0276,             0.00013112,             0.00013112,             0.00013112
                     47,                 1.0333,                 2.2584,                 1.0783,                0.43795,                0.57441,                  0.453,                0.34919,                0.87307,                 1.7312,                 1.0281,             0.00013072,             0.00013072,             0.00013072
                     48,                 1.0436,                 2.2779,                 1.0767,                0.49583,                0.55066,                 0.4564,                0.35288,                0.84747,                 1.9503,                 1.0203,             0.00013033,             0.00013033,             0.00013033
                     49,                 1.0163,                 2.1514,                 1.0636,                0.40435,                0.59035,                0.43712,                0.33726,                0.86273,                 2.3943,                 1.0252,             0.00012993,             0.00012993,             0.00012993
                     50,                 1.0482,                 2.1756,                 1.0834,                0.41574,                0.57594,                0.43891,                0.34206,                 0.8386,                 2.2387,                 1.0189,             0.00012953,             0.00012953,             0.00012953
                     51,                 1.0361,                 2.1744,                 1.0709,                0.43826,                0.59076,                0.46732,                0.36254,                0.83534,                 2.1141,                 1.0199,             0.00012913,             0.00012913,             0.00012913
