                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.2654,                  5.362,                 1.7334,                0.00373,                  0.008,                0.00256,                0.00106,                 1.9138,                 4.7727,                 1.5606,             4.9557e-05,             4.9557e-05,             4.9557e-05
                      2,                 1.8444,                 5.1112,                 1.4233,                0.00713,                0.07357,                0.00562,                0.00284,                 1.5483,                  4.555,                 1.3206,             9.8906e-05,             9.8906e-05,             9.8906e-05
                      3,                 1.6064,                 4.8796,                  1.293,                0.01126,                 0.2271,                0.01037,                 0.0065,                 1.3822,                 4.2329,                 1.2139,             0.00014794,             0.00014794,             0.00014794
                      4,                 1.5268,                 4.6817,                 1.2529,                0.01149,                0.27727,                0.01433,                 0.0093,                 1.2664,                 4.0914,                 1.1942,             0.00014757,             0.00014757,             0.00014757
                      5,                 1.4627,                 4.5037,                 1.2069,                0.01254,                0.31515,                0.01706,                0.01168,                 1.2282,                 3.9912,                 1.1505,             0.00014709,             0.00014709,             0.00014709
                      6,                 1.4201,                 4.2972,                 1.1888,                0.24173,                 0.1402,                0.01987,                0.01376,                 1.1922,                 3.8577,                 1.1371,             0.00014662,             0.00014662,             0.00014662
                      7,                 1.3516,                 4.2746,                 1.1731,                0.24538,                0.06683,                0.02424,                0.01734,                 1.1492,                 3.7366,                 1.1355,             0.00014614,             0.00014614,             0.00014614
                      8,                 1.3255,                  4.173,                  1.155,                0.28932,                0.09384,                0.03332,                0.02345,                   1.15,                 3.5433,                 1.1275,             0.00014566,             0.00014566,             0.00014566
                      9,                 1.2907,                 4.0025,                 1.1598,                0.26099,                 0.0963,                0.04455,                0.03187,                  1.111,                 3.5259,                 1.1227,             0.00014519,             0.00014519,             0.00014519
                     10,                 1.2803,                 3.9447,                 1.1332,                0.29311,                0.10533,                0.05165,                0.03647,                 1.1126,                 3.3358,                 1.1173,             0.00014471,             0.00014471,             0.00014471
                     11,                 1.2713,                 3.7717,                  1.147,                0.31925,                 0.1138,                 0.0633,                0.04532,                  1.058,                 3.1781,                 1.0964,             0.00014423,             0.00014423,             0.00014423
                     12,                 1.2601,                 3.6822,                 1.1482,                0.26076,                0.15433,                0.07046,                 0.0514,                 1.0497,                  3.278,                 1.0982,             0.00014376,             0.00014376,             0.00014376
                     13,                 1.2321,                  3.653,                 1.1148,                0.24945,                 0.1615,                0.08382,                0.06041,                 1.0614,                 3.3018,                 1.0975,             0.00014328,             0.00014328,             0.00014328
                     14,                 1.2608,                 3.5397,                 1.1463,                0.30983,                0.17907,                0.09936,                0.07226,                 1.0302,                 3.0553,                 1.0931,              0.0001428,              0.0001428,              0.0001428
                     15,                 1.2215,                  3.408,                 1.1368,                0.28534,                0.19011,                0.10737,                0.07846,                 1.0135,                 3.0474,                 1.0761,             0.00014232,             0.00014232,             0.00014232
                     16,                 1.1968,                 3.3289,                 1.1213,                0.30115,                0.22359,                0.12242,                0.09044,                0.99622,                 2.8676,                  1.082,             0.00014185,             0.00014185,             0.00014185
                     17,                 1.1718,                 3.3129,                 1.1067,                0.35036,                0.22571,                0.14904,                0.10982,                0.99312,                 2.6913,                 1.0768,             0.00014137,             0.00014137,             0.00014137
                     18,                 1.1808,                  3.268,                 1.1291,                0.34172,                0.24132,                0.16084,                0.11859,                0.99096,                  2.645,                 1.0862,             0.00014089,             0.00014089,             0.00014089
                     19,                 1.1715,                 3.1485,                 1.1271,                0.35063,                 0.2662,                0.17021,                0.12575,                 1.0072,                  2.577,                 1.0858,             0.00014042,             0.00014042,             0.00014042
                     20,                 1.1611,                 3.0551,                 1.1369,                  0.299,                0.29261,                 0.1712,                0.12773,                 0.9758,                 2.8339,                 1.0689,             0.00013994,             0.00013994,             0.00013994
                     21,                 1.1734,                 3.0914,                 1.1199,                0.37632,                0.30467,                0.20818,                0.15528,                0.96069,                 2.3892,                   1.07,             0.00013946,             0.00013946,             0.00013946
                     22,                 1.1357,                 2.9342,                 1.1142,                0.39175,                0.30095,                0.21648,                0.16192,                0.96872,                 2.4355,                 1.0775,             0.00013899,             0.00013899,             0.00013899
                     23,                 1.1324,                 2.8361,                 1.1074,                0.43167,                0.31626,                0.25699,                0.19447,                0.93194,                 2.1965,                 1.0699,             0.00013851,             0.00013851,             0.00013851
                     24,                 1.1451,                 2.9131,                 1.1179,                0.37451,                0.33566,                0.23406,                0.17455,                0.94775,                  2.365,                 1.0731,             0.00013803,             0.00013803,             0.00013803
                     25,                 1.1178,                 2.8554,                 1.1018,                 0.3422,                0.35022,                0.22849,                0.17173,                0.94379,                 2.5909,                 1.0534,             0.00013756,             0.00013756,             0.00013756
                     26,                 1.1192,                 2.8903,                 1.1032,                0.38904,                0.34893,                0.27668,                0.20819,                0.93972,                  2.229,                 1.0648,             0.00013708,             0.00013708,             0.00013708
                     27,                 1.1253,                 2.7546,                 1.1163,                0.43147,                0.36504,                0.29216,                0.22133,                0.91699,                 2.1506,                 1.0476,              0.0001366,              0.0001366,              0.0001366
                     28,                  1.093,                 2.6784,                 1.0912,                0.42253,                0.37607,                 0.2858,                0.21754,                0.91877,                 2.2383,                 1.0542,             0.00013613,             0.00013613,             0.00013613
                     29,                 1.0987,                 2.7674,                 1.0832,                0.43385,                0.39943,                0.31182,                0.23658,                0.92242,                 2.1132,                 1.0489,             0.00013565,             0.00013565,             0.00013565
                     30,                 1.0819,                 2.6068,                 1.0947,                0.37661,                0.40669,                0.29193,                0.21993,                0.92093,                 2.2692,                 1.0505,             0.00013517,             0.00013517,             0.00013517
                     31,                 1.0767,                 2.5544,                  1.085,                0.41761,                0.41796,                0.32438,                0.24644,                0.89865,                 2.1084,                 1.0426,              0.0001347,              0.0001347,              0.0001347
                     32,                 1.0681,                 2.5489,                 1.0995,                0.45995,                0.43021,                0.35292,                0.26999,                0.89877,                 1.9288,                 1.0457,             0.00013422,             0.00013422,             0.00013422
                     33,                 1.0755,                 2.5575,                  1.091,                0.43262,                0.44134,                0.36448,                0.27727,                0.89581,                 1.8585,                 1.0398,             0.00013374,             0.00013374,             0.00013374
                     34,                 1.0843,                 2.5193,                 1.0832,                0.43076,                0.45774,                0.36261,                0.27486,                0.91114,                 1.8945,                 1.0548,             0.00013327,             0.00013327,             0.00013327
                     35,                 1.0653,                 2.4775,                 1.0885,                0.41395,                0.45707,                0.37037,                0.28463,                 0.8881,                 1.9664,                 1.0466,             0.00013279,             0.00013279,             0.00013279
                     36,                 1.0566,                 2.4867,                 1.0882,                0.42212,                0.48009,                0.38077,                0.29269,                0.88578,                 2.0622,                 1.0465,             0.00013231,             0.00013231,             0.00013231
                     37,                 1.0522,                 2.3543,                 1.0894,                0.47277,                 0.4612,                 0.4137,                0.31833,                0.88217,                 1.7917,                 1.0537,             0.00013184,             0.00013184,             0.00013184
                     38,                 1.0625,                 2.4164,                 1.0935,                0.48689,                0.46914,                0.41697,                0.31905,                0.88446,                 1.8487,                 1.0461,             0.00013136,             0.00013136,             0.00013136
                     39,                 1.0585,                 2.3782,                 1.0835,                0.45786,                0.52797,                0.41189,                0.31697,                0.87871,                  1.832,                 1.0486,             0.00013088,             0.00013088,             0.00013088
                     40,                 1.0502,                 2.3754,                 1.0741,                0.43741,                0.48964,                0.40259,                0.30909,                0.87973,                 1.8897,                 1.0479,              0.0001304,              0.0001304,              0.0001304
                     41,                 1.0435,                 2.4008,                 1.0698,                0.49209,                0.51433,                0.43567,                0.33577,                0.87179,                 1.7131,                 1.0385,             0.00012993,             0.00012993,             0.00012993
                     42,                 1.0398,                 2.3355,                 1.0724,                0.46344,                0.53794,                0.42778,                0.33191,                0.85985,                 1.7321,                 1.0329,             0.00012945,             0.00012945,             0.00012945
                     43,                 1.0164,                 2.2909,                 1.0696,                0.44744,                0.54789,                0.42571,                0.32899,                0.86626,                 1.8178,                 1.0387,             0.00012897,             0.00012897,             0.00012897
                     44,                 1.0391,                 2.2942,                 1.0784,                 0.4526,                0.55404,                0.42982,                0.32827,                0.88115,                 1.8785,                 1.0391,              0.0001285,              0.0001285,              0.0001285
                     45,                 1.0349,                 2.2012,                 1.0774,                0.39167,                0.57758,                0.42392,                0.32972,                0.85507,                 1.9623,                 1.0338,             0.00012802,             0.00012802,             0.00012802
                     46,                 1.0047,                 2.2437,                 1.0607,                0.42649,                0.56923,                0.43873,                0.33819,                0.86643,                 1.9205,                 1.0339,             0.00012754,             0.00012754,             0.00012754
                     47,                 1.0291,                 2.2538,                 1.0747,                0.45315,                0.59674,                0.46499,                0.35982,                0.86373,                 1.8534,                 1.0378,             0.00012707,             0.00012707,             0.00012707
                     48,                 1.0335,                 2.2615,                 1.0773,                0.46107,                0.58249,                0.46919,                0.36328,                0.85384,                 1.9042,                 1.0357,             0.00012659,             0.00012659,             0.00012659
                     49,                 1.0161,                 2.1419,                 1.0619,                 0.4698,                0.58454,                0.46447,                0.35914,                0.86389,                 2.2178,                 1.0367,             0.00012611,             0.00012611,             0.00012611
                     50,                 1.0475,                 2.1644,                 1.0824,                0.39255,                0.61542,                0.45146,                0.35075,                0.85289,                 2.2891,                 1.0339,             0.00012564,             0.00012564,             0.00012564
                     51,                 1.0309,                 2.1492,                 1.0649,                0.43768,                0.61545,                0.48582,                0.37778,                 0.8407,                 1.7829,                  1.035,             0.00012516,             0.00012516,             0.00012516
                     52,                0.99477,                 2.0998,                 1.0668,                0.48211,                0.59222,                0.50115,                0.38915,                0.85138,                 1.5182,                 1.0396,             0.00012468,             0.00012468,             0.00012468
                     53,                0.98254,                 2.2024,                 1.0503,                0.43316,                0.60881,                0.48894,                0.38029,                0.84313,                  1.796,                 1.0249,             0.00012421,             0.00012421,             0.00012421
