                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.97611,                 1.7789,                 1.0242,                0.48561,                0.71933,                0.59081,                0.45877,                0.83583,                 1.2733,                0.99833,             4.9557e-05,             4.9557e-05,             4.9557e-05
                      2,                 1.0156,                 1.7711,                 1.0484,                 0.4861,                 0.7292,                0.58844,                0.45731,                0.83237,                 1.2842,                0.98863,             9.8694e-05,             9.8694e-05,             9.8694e-05
                      3,                 1.0132,                 1.7836,                 1.0536,                0.49089,                 0.7145,                 0.5909,                0.46023,                0.82834,                 1.2054,                0.99109,              0.0001473,              0.0001473,              0.0001473
                      4,                 1.0141,                 1.7794,                 1.0593,                0.50632,                0.71742,                0.59081,                0.46052,                0.82689,                 1.2386,                0.98946,             0.00014662,             0.00014662,             0.00014662
                      5,                 1.0143,                 1.7443,                  1.035,                0.48549,                0.71883,                0.58409,                 0.4537,                0.85644,                  1.341,                 1.0101,             0.00014582,             0.00014582,             0.00014582
                      6,                 1.0296,                 1.7415,                 1.0559,                0.49453,                0.69281,                 0.5773,                0.44671,                0.84666,                 1.4263,                0.99627,             0.00014503,             0.00014503,             0.00014503
                      7,                 1.0145,                 1.7785,                 1.0422,                0.49914,                0.69994,                0.57692,                0.44692,                0.83234,                 1.3826,                0.99007,             0.00014423,             0.00014423,             0.00014423
                      8,                 1.0029,                 1.7917,                 1.0416,                0.48563,                0.71954,                0.58016,                0.44996,                0.84938,                 1.3889,                0.99783,             0.00014344,             0.00014344,             0.00014344
                      9,                 1.0005,                 1.7668,                 1.0484,                0.50195,                0.71048,                0.57941,                0.45056,                0.83452,                 1.3146,                0.99766,             0.00014264,             0.00014264,             0.00014264
                     10,                 1.0153,                 1.8103,                 1.0316,                0.47886,                0.70445,                0.58094,                0.45377,                0.84171,                 1.2866,                 0.9974,             0.00014185,             0.00014185,             0.00014185
                     11,                  1.018,                 1.7495,                 1.0464,                0.50322,                0.70024,                0.58447,                0.44435,                0.87939,                 1.2593,                 1.0121,             0.00014105,             0.00014105,             0.00014105
                     12,                 1.0031,                 1.7458,                 1.0412,                0.47223,                0.73192,                0.57676,                0.45161,                0.82339,                 1.3821,                0.99272,             0.00014026,             0.00014026,             0.00014026
                     13,                0.99536,                 1.7575,                 1.0273,                0.46563,                0.71583,                0.57233,                0.44409,                0.82854,                 1.4755,                0.98385,             0.00013946,             0.00013946,             0.00013946
                     14,                 1.0304,                 1.7887,                 1.0483,                0.49809,                0.72181,                0.58142,                0.45532,                0.81513,                 1.3291,                0.98282,             0.00013867,             0.00013867,             0.00013867
                     15,                 1.0083,                 1.7528,                 1.0487,                0.48636,                0.69166,                0.57777,                0.44552,                0.86183,                 1.3363,                 1.0081,             0.00013787,             0.00013787,             0.00013787
                     16,                 1.0098,                 1.7407,                 1.0372,                0.47541,                0.71631,                0.57816,                0.44881,                0.83244,                 1.4399,                0.98963,             0.00013708,             0.00013708,             0.00013708
                     17,                 0.9923,                 1.7426,                 1.0285,                0.49216,                0.69319,                0.58612,                 0.4582,                0.82356,                 1.3981,                0.99146,             0.00013629,             0.00013629,             0.00013629
                     18,                 1.0023,                 1.7585,                  1.036,                0.49735,                0.71162,                0.59272,                0.46202,                0.82294,                 1.2828,                0.98636,             0.00013549,             0.00013549,             0.00013549
                     19,                 1.0092,                 1.7362,                 1.0344,                0.49334,                 0.7394,                0.59284,                0.45976,                0.84092,                 1.2989,                0.99626,              0.0001347,              0.0001347,              0.0001347
                     20,                 1.0079,                 1.7168,                 1.0534,                0.49094,                0.73912,                0.58838,                0.45744,                0.82656,                 1.4085,                0.98796,              0.0001339,              0.0001339,              0.0001339
                     21,                 1.0034,                 1.7662,                 1.0304,                0.50478,                0.73103,                0.58949,                0.45972,                 0.8213,                 1.3655,                0.98585,             0.00013311,             0.00013311,             0.00013311
                     22,                  1.006,                 1.6869,                 1.0346,                0.49397,                0.74387,                 0.5815,                 0.4513,                0.83394,                 1.5931,                0.99171,             0.00013231,             0.00013231,             0.00013231
                     23,                0.98313,                 1.6438,                  1.031,                0.50623,                0.72349,                0.59681,                0.46862,                0.81138,                 1.3023,                0.98905,             0.00013152,             0.00013152,             0.00013152
                     24,                 1.0098,                 1.6919,                 1.0352,                0.51487,                0.73281,                0.58911,                0.46136,                0.81626,                 1.3637,                0.98392,             0.00013072,             0.00013072,             0.00013072
                     25,                0.98383,                  1.696,                 1.0317,                0.49463,                0.73967,                0.58939,                0.45814,                0.83129,                 1.4376,                0.98334,             0.00012993,             0.00012993,             0.00012993
                     26,                0.99761,                 1.7494,                 1.0335,                0.51731,                0.72433,                0.59823,                0.46672,                0.82225,                 1.2689,                0.98679,             0.00012913,             0.00012913,             0.00012913
                     27,                0.98976,                 1.6979,                 1.0327,                0.49933,                0.73286,                0.59474,                 0.4649,                0.81569,                 1.3062,                 0.9823,             0.00012834,             0.00012834,             0.00012834
                     28,                0.98586,                  1.676,                 1.0245,                0.51444,                0.72788,                0.59898,                0.46642,                0.82589,                 1.3473,                0.98479,             0.00012754,             0.00012754,             0.00012754
                     29,                 0.9848,                 1.7163,                 1.0217,                0.50455,                0.72732,                0.59453,                0.46286,                0.82542,                 1.3727,                0.98681,             0.00012675,             0.00012675,             0.00012675
                     30,                0.98131,                 1.6602,                 1.0201,                0.50051,                0.73147,                0.59217,                0.46545,                0.81137,                 1.4232,                0.98148,             0.00012595,             0.00012595,             0.00012595
                     31,                0.97382,                 1.6205,                 1.0134,                0.53685,                0.70408,                0.59944,                0.46958,                0.82117,                 1.3919,                0.99071,             0.00012516,             0.00012516,             0.00012516
                     32,                0.96212,                 1.6229,                 1.0198,                0.51042,                0.72878,                0.60133,                0.46989,                 0.8287,                 1.3202,                0.99188,             0.00012437,             0.00012437,             0.00012437
                     33,                0.99114,                  1.696,                 1.0391,                0.50818,                0.73686,                 0.6004,                0.47225,                0.80792,                 1.2771,                0.98175,             0.00012357,             0.00012357,             0.00012357
                     34,                0.98945,                 1.6787,                 1.0171,                0.50618,                0.73563,                0.60426,                0.47259,                0.81854,                 1.2644,                0.98495,             0.00012278,             0.00012278,             0.00012278
